Tested.Agent.s.,Combined.Agent.s.,Control.Arm,Treatment.Setting,Tumour.Type,Tumour.Sub.type,Tumour.Sub.group,Tumour.Stage,Score,Ref.,Score.card,V1,V2,V3,Control Arm,DFS Control,DFS Gain,DFS HR,Final curative score,Form(s),Primary Outcome(s),Treatment Setting,Trial Name,Tumour stage,Tumour Sub-Group,Tumour Sub-type,Tumour Type,Combined Agent(s),pCR Gain,PFS HR,Final non-curative Score,OS Control,OS Gain,OS HR,PFS Control,PFS Gain,Preliminary non-curative score,QoL adjustment,QoL Comment,Last update,Toxicity adjustment,Toxicity Comment,Long-term plateau in the survival curve,Evaluated Outcome,V4,Comment,Long-term plateau in the PFS curve,QoL or Toxicity non-inferiority or superiority in PFS/OS,Release date,ORR,Issue date,DoR,RR Gain,Improvement in some symptoms BUT without evidence of improved overall QoL,RFS Control,RFS Gain,RFS HR,OS advantage continues to be observed
Erlotinib,Gemcitabine,Gemcitabine + placebo,1st line advanced or metastatic,Gastrointestinal Cancers,Pancreatic cancer,-,Metastatic,1,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2006.07.9525?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,Gemcitabine + placebo,NA,NA,NA,NA,Form 2a,OS,1st line advanced or metastatic,NA,            Metastatic    ,NA,Pancreatic cancer,Gastrointestinal Cancers,Gemcitabine,NA,NA,1,5.9 months,0.3 months,0.82 (0.69-0.99),NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bevacizumab,Combination chemotherapy,Combination chemotherapy,"Recurrent, persistent or metastatic cervical cancer",Gynaecological Malignancies,Cervical Cancer,-,Metastatic,3,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1309748?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Combination chemotherapy,NA,NA,NA,NA,Form 2a,OS,"Recurrent, persistent or metastatic cervical cancer",NA,            Metastatic    ,NA,Cervical Cancer,Gynaecological Malignancies,Combination chemotherapy,NA,NA,3,13.3 months,3.7 months,0.71 (0.54-0.95),NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bevacizumab,Chemotherapy,Paclitaxel or topotecan or liposomal doxorubicin,Recurrent platinum-resistant ovarian cancer,Gynaecological Malignancies,Ovarian Cancer,-,Metastatic,4,NA,NA,http://ascopubs.org/doi/pdf/10.1200/JCO.2013.51.4240,http://ascopubs.org/doi/pdf/10.1200/JCO.2013.51.4489,NA,Paclitaxel or topotecan or liposomal doxorubicin ,NA,NA,NA,NA,Form 2b,PFS (crossover allowed),Recurrent platinum-resistant ovarian cancer,AURELIA,            Metastatic    ,NA,Ovarian Cancer,Gynaecological Malignancies,Chemotherapy,NA,0.48 (0.38-0.60),4,NA,NA,NS,3.4 months,3.3 months,3,1+,Improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bevacizumab,Paclitaxel + carboplatin,Paclitaxel + carboplatin,Early stage post-resection advanced ovarian or primary peritoneal ALL,Gynaecological Malignancies,Ovarian Cancer,-,Early,1,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(12)70567-3/fulltext,https://www.nejm.org/doi/10.1056/NEJMoa1103799?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,Paclitaxel + carboplatin ,NA,NA,NA,NA,Form 2b,PFS stratified for stage and risk of progression   (All) ,Early stage post-resection advanced ovarian or primary peritoneal ALL,ICON7,            Early    ,NA,Ovarian Cancer,Gynaecological Malignancies,Paclitaxel + carboplatin,NA,0.87 (0.77-0.99),1,NA,NA,NS,17.4 months,2.4 months       ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bevacizumab,Paclitaxel + carboplatin,Paclitaxel + carboplatin,Early stage post-resection advanced ovarian or primary peritoneal High risk,Gynaecological Malignancies,Ovarian Cancer,-,Early,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(12)70567-3/fulltext,https://www.nejm.org/doi/10.1056/NEJMoa1103799?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,Paclitaxel + carboplatin ,NA,NA,NA,NA,Form 2a,PFS stratified for stage and risk of progression          (High risk) , Early stage post-resection advanced ovarian or primary peritoneal High risk,ICON7,            Early    ,NA,Ovarian Cancer,Gynaecological Malignancies,Paclitaxel + carboplatin,NA,0.73 (0.60-0.93),3,28.8 months ,7.8 months,0.64 (0.48-0.85),10.5 months,5.5 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bevacizumab,Gemcitabine + carboplatin,Gemcitabine + carboplatin,Recurrent platinum-sensitive ovarian cancer,Gynaecological Malignancies,Ovarian Cancer,-,Metastatic,3,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2012.42.0505?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,Gemcitabine + carboplatin,NA,NA,NA,NA,Form 2b,PFS (crossover allowed),Recurrent platinum-sensitive ovarian cancer,OCEANS,            Metastatic    ,NA,Ovarian Cancer,Gynaecological Malignancies,Gemcitabine + carboplatin,NA,0.48 (0.39-0.61),3,NA,NA,NS,8.4 months,4 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bevacizumab,Carboplatin + paclitaxel,Paclitaxel and carboplatin (6 cycles),Incompletely resected stage III and stage IV ovarian cancer,Gynaecological Malignancies,Ovarian Cancer,-,Metastatic,3,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1104390?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Paclitaxel and carboplatin (6 cycles) ,NA,NA,NA,NA,Form 2b,PFS (crossover allowed),Incompletely resected stage III and stage IV ovarian cancer,GOG 218,            Metastatic    ,NA,Ovarian Cancer,Gynaecological Malignancies,Carboplatin + paclitaxel,NA,0.72 (0.63-0.82),3,NA,NA,NS,10.3 months,Bevacizumab continuation 3.8 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niraparib,-,Placebo,Maintenance,Gynaecological Malignancies,Ovarian Cancer,gBRCA,Metastatic,3,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1611310?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA, Placebo,NA,NA,NA,NA,Form 2b,PFS,Maintenance  ,ENGOT-OV16/NOVA,            Metastatic    ,gBRCA,Ovarian Cancer,Gynaecological Malignancies,NA,NA,0.27 (0.17-0.41),3,NA,NA,NA,5.5 months,15.5 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niraparib,-,Placebo,Maintenance,Gynaecological Malignancies,Ovarian Cancer,non-gBRCA HRD +ve,Metastatic,3,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1611310?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA, Placebo,NA,NA,NA,NA,Form 2b,PFS,Maintenance  ,ENGOT-OV16/NOVA,            Metastatic    ,non-gBRCA HRD +ve,Ovarian Cancer,Gynaecological Malignancies,NA,NA,0.38 (0.24-0.59),3,NA,NA,NA,3.8 months,9.1 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niraparib,-,Placebo,Maintenance,Gynaecological Malignancies,Ovarian Cancer,non-gBRCA,Metastatic,3,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1611310?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA, Placebo,NA,NA,NA,NA,Form 2b,PFS,Maintenance  ,ENGOT-OV16/NOVA,            Metastatic    ,non-gBRCA,Ovarian Cancer,Gynaecological Malignancies,NA,NA,0.45 (0.34-0.61),3,NA,NA,NA,3.9 months,5.4 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trabectedin,Pegylated liposomal doxorubicin,Pegylated liposomal doxorubicin,2nd line metastatic ovarian cancer (Platine sensitive),Gynaecological Malignancies,Ovarian Cancer,-,Metastatic,2,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2009.25.4037?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,Pegylated liposomal doxorubicin,NA,NA,NA,NA,Form 2b,PFS stratified for platinum sensivity/resistance                 (Sensitive) ,2nd line metastatic ovarian cancer (Platine sensitive),OVA-301,            Metastatic    ,NA,Ovarian Cancer,Gynaecological Malignancies,Pegylated liposomal doxorubicin,NA,0.73 (0.56-0.95),2,NA,NA,NA,7.5 months,1.7 months,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trabectedin,Pegylated liposomal doxorubicin,Pegylated liposomal doxorubicin,2nd line metastatic ovarian cancer (All),Gynaecological Malignancies,Ovarian Cancer,-,Metastatic,3,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2009.25.4037?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,Pegylated liposomal doxorubicin,NA,NA,NA,NA,Form 2b,PFS stratified for platinum sensivity/resistance                   (All),2nd line metastatic ovarian cancer (All),OVA-302,            Metastatic    ,NA,Ovarian Cancer,Gynaecological Malignancies,Pegylated liposomal doxorubicin,NA,0.79 (0.65-0.96),3,NA,NA,NA,5.8 months,1.5 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olaparib,-,Placebo,Maintenance (Randomised phase II study),Gynaecological Malignancies,Ovarian Cancer,BRCA mutation,Metastatic,3,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1105535?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(14)70228-1/fulltext,https://www.nature.com/articles/bjc2016348,Placebo,NA,NA,NA,NA,Form 2b,PFS,Maintenance (Randomised phase II study),Study 19,            Metastatic    ,BRCA mutation,Ovarian Cancer,Gynaecological Malignancies,NA,NA,0.18 (0.10-0.31),3,27.8 months,2 months,0.73 (0.55-0.96),4.3 months,6.9 months,3,NA,Not improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cediranib,Chemotherapy,Platinum-based chemotherapy + placebo and placebo maintenance,Platinum-sensitive relapsed ovarian cancer,Gynaecological Malignancies,Ovarian Cancer,-,Metastatic,1,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)01167-8/fulltext,NA,NA,Platinum-based chemotherapy + placebo and placebo maintenance,NA,NA,NA,NA,Form 2b,PFS,Platinum-sensitive relapsed ovarian cancer,ICON 6,            Metastatic    ,NA,Ovarian Cancer,Gynaecological Malignancies,Chemotherapy,NA,0.56 (0.44-0.72),1,NA,NA,NS,8.7 months,2.3 months,2,NA,NA,NA,1-,25-35% discontinuation B/C toxicity >5% increase grade 3/4 fatigue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nivolumab,-,Chemotherapy,Platinum-refractory metastatic H+N squamous cell cancer,Head and neck cancer,Squamous cell,-,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1602252?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Chemotherapy,NA,NA,NA,NA,Form 2a,OS - All,Platinum-refractory metastatic H+N squamous cell cancer,CheckMate 141,            Metastatic    ,NA,Squamous cell,Head and neck cancer,NA,NA,NA,4,5.1 months,2.4 months,0.69 (0.53-0.91),NA,NA,3,1+,Improved,NA,NA,Reduced,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nivolumab,-,Chemotherapy,Platinum-refractory metastatic H+N squamous cell cancer stratified for PD-L1,Head and neck cancer,Squamous cell,-,Metastatic,5,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1602252?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Chemotherapy,NA,NA,NA,NA,Form 2a,OS - PD-L1 >1%,Platinum-refractory metastatic H+N squamous cell cancer stratified for PD-L1,CheckMate 141,            Metastatic    ,NA,Squamous cell,Head and neck cancer,NA,NA,NA,5,4.6 months,4.1 months,0.55 (0.36-0.83),NA,NA,4,1+,Improved,NA,NA,Reduced,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pembrolizumab,-,Docetaxel,2nd line after platinum-based therapy OR TKI (for EGFR/ALK Mutated) advanced NSCLC>1% tumour cell PD-L1 expression (all) Pembro 2mg/kg,Thoracic Malignancies,Non-small-cell Lung Cancer,-,Metastatic,5,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)01281-7/fulltext,NA,NA,Docetaxel,NA,NA,NA,NA,Form 2a,OS - All >1%  - 2mg/kg,2nd line after platinum-based therapy OR TKI (for EGFR/ALK Mutated) advanced NSCLC>1% tumour cell PD-L1 expression (all) Pembro 2mg/kg,KEYNOTE-010,            Metastatic    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,NA,5,8.5 months ,1.9 months ,0.71 (0.58-0.88) ,NA,NA,4,NA,NA,16.03.2020,1+,Reduce grade 3/4 adverse events 13/16% vs 35,2-year survival gain >10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pembrolizumab,-,Docetaxel,2nd line after platinum-based therapy OR TKI (for EGFR/ALK Mutated) advanced NSCLC>1% tumour cell PD-L1 expression (all) Pembro 10mg/kg,Thoracic Malignancies,Non-small-cell Lung Cancer,-,Metastatic,5,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)01281-7/fulltext,NA,NA,Docetaxel,NA,NA,NA,NA,Form 2a,OS - All >1%          10 mg/kg,2nd line after platinum-based therapy OR TKI (for EGFR/ALK Mutated) advanced NSCLC>1% tumour cell PD-L1 expression (all) Pembro 10mg/kg,KEYNOTE-010,            Metastatic    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,NA,5,8.5 months ,4.2 months,0.61 (0.49-0.75),NA,NA,4,NA,NA,NA,1+,Reduce grade 3/4 adverse events 13/16% vs 36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pembrolizumab,-,Docetaxel,2nd line after platinum-based therapy OR TKI (for EGFR/ALK Mutated) advanced NSCLC >50% tumour cell PD-L1 expression Pembro 2mg/kg,Thoracic Malignancies,Non-small-cell Lung Cancer,-,Metastatic,5,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)01281-7/fulltext,NA,NA,Docetaxel,NA,NA,NA,NA,Form 2a,OS - >50%      2 mg/kg,2nd line after platinum-based therapy OR TKI (for EGFR/ALK Mutated) advanced NSCLC >50% tumour cell PD-L1 expression Pembro 2mg/kg,KEYNOTE-010,            Metastatic    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,NA,5,8.2 months,6.7 months,0.54 (0.38-0.77),NA,NA,4,NA,NA,NA,1+,Reduce grade 3/4 adverse events 13/16% vs 37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pembrolizumab,-,Docetaxel,2nd line after platinum-based therapy OR TKI (for EGFR/ALK Mutated) advanced NSCLC>50% tumour cell PD-L1 expression Pembro 10mg/kg,Thoracic Malignancies,Non-small-cell Lung Cancer,-,Metastatic,5,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)01281-7/fulltext,NA,NA,Docetaxel,NA,NA,NA,NA,Form 2a,OS - >50%    10 mg/kg,2nd line after platinum-based therapy OR TKI (for EGFR/ALK Mutated) advanced NSCLC>50% tumour cell PD-L1 expression Pembro 10mg/kg,KEYNOTE-010,            Metastatic    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,NA,5,8.2 months,9.1 months,0.50 (0.36-0.70),NA,NA,4,NA,NA,NA,1+,Reduce grade 3/4 adverse events 13/16% vs 37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nivolumab,-,Docetaxel,2nd line after platinum-based therapy advanced squamous-cell NSCLC,Thoracic Malignancies,Non-small-cell Lung Cancer,Squamous cell,Metastatic,5,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1504627?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Docetaxel,NA,NA,NA,NA,Form 2a,OS,2nd line after platinum-based therapy advanced squamous-cell NSCLC ,CheckMate 017,            Metastatic    , Squamous cell,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.62 (0.47-0.81),5,6 months,3.2 months 2-year survival gain:15%,0.59 (0.44-0.79),2.8 months,0.7 months,4,NA,NA,NA,1+,Reduced grade 3/4 AE 7% vs 55%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nivolumab,-,Docetaxel,2nd line after platinum-based therapy advanced non-squamous-cell NSCLC stratified for PD-L1,Thoracic Malignancies,Non-small-cell Lung Cancer,Non-squamous cell,Metastatic,5,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1507643?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://www.jto.org/article/S1556-0864(16)30815-2/fulltext,NA,Docetaxel,NA,NA,NA,NA,Form 2a,OS,2nd line after platinum-based therapy advanced non-squamous-cell NSCLC stratified for PD-L1,CheckMate 057,            Metastatic    ,Non-squamous cell,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,NA,5,9.4 months,2.8 months 2-year survival gain >10%,0.73 (0.59-0.89),NA,NA,4,NA,Improved,NA,1+,Reduced grade 3/4 AE10% vs 54%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlotinib,-,Carboplatin gemcitabine,"1st line stage III or IV non-squamous, with EGFR mutation",Thoracic Malignancies,Non-small-cell Lung Cancer,EGFR+,Metastatic,4,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(11)70184-X/fulltext,NA,NA,Carboplatin gemcitabine,NA,NA,NA,NA,Form 2b,PFS,"1st line stage III or IV non-squamous, with EGFR mutation","OPTIMAL, CTONG-0802",            Metastatic    ,EGFR+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.16 (0.10-0.26),4,NA,NA,NA,4.6 months,8.5 months,3,NA,NA,NA,1+,12% less serious adverse events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlotinib,-,Platinum-based chemotherapy doublet,"1st line stage III or IV non-squamous, with EGFR mutation",Thoracic Malignancies,Non-small-cell Lung Cancer,EGFR+,Metastatic,4,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(11)70393-X/fulltext,NA,NA,Platinum-based chemotherapy doublet,NA,NA,NA,NA,Form 2b,PFS (crossover allowed),"1st line stage III or IV non-squamous, with EGFR mutation",EURTAC,            Metastatic    ,EGFR+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.37 (0.25-0.54),4,19.35 months,NA,NS,5.2 months,4.5 months,3,NA,NA,NA,1+,15% less severe adverse reactions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gefitinib,-,Carboplatin + paclitaxel,1st line stage III or IV adenocarcinoma with EGFR mutation,Thoracic Malignancies,Non-small-cell Lung Cancer,EGFR+,Metastatic,4,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2010.33.4235?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,https://www.nejm.org/doi/10.1056/NEJMoa0810699?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,Carboplatin + paclitaxel,NA,NA,NA,NA,Form 2b,PFS (crossover allowed),1st line stage III or IV adenocarcinoma with EGFR mutation,IPASS,            Metastatic    ,EGFR+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.48 (0.34-0.67),4,NA,NA,NA,6.3 months,3.3 months,3,NA,Improved,NA,1+,Reduced toxicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afatinib,-,Cisplatin + pemetrexed,1st line stage III or IV adenocarcinoma with EGFR mutation,Thoracic Malignancies,Non-small-cell Lung Cancer,EGFR+,Metastatic,4,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2012.44.2806?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,http://ascopubs.org/doi/abs/10.1200/JCO.2012.46.1764?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,Cisplatin + pemetrexed,NA,NA,NA,NA,Form 2b,PFS (crossover allowed),1st line stage III or IV adenocarcinoma with EGFR mutation,LUX - Lung 3,            Metastatic    ,EGFR+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.58 (0.43-0.78),4,NA,NA,NA,6.9 months,4.2 months,3,1+,Improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afatinib,-,Cisplatin + pemetrexed,1st line stage III or IV adenocarcinoma with EGFR mutation                                  (Del19/L858R),Thoracic Malignancies,Non-small-cell Lung Cancer,EGFR+,Metastatic,4,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2012.44.2806?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,http://ascopubs.org/doi/abs/10.1200/JCO.2012.46.1764?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,Cisplatin + pemetrexed,NA,NA,NA,NA,Form 2b,PFS,1st line stage III or IV adenocarcinoma with EGFR mutation                                  (Del19/L858R),LUX - Lung 3,            Metastatic    ,EGFR+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.47 (0.34-0.65),4,NA,NA,NA,6.9 months,6.7 months,3,1+,Improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osimertinib,-,Platinum/pemetrexed,2nd line for EGFR mutated NSCLC after TKI with new T790M mutation,Thoracic Malignancies,Non-small-cell Lung Cancer,EGFR+,Advanced,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1612674?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://ascopubs.org/doi/full/10.1200/JCO.2017.77.2293?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,Platinum/pemetrexed,NA,NA,NA,NA,Form 2b,PFS (crossover allowed),2nd line for EGFR mutated NSCLC after TKI with new T790M mutation,AURA3,            Advanced    ,EGFR+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.30 (0.23-0.41),4,NA,NA,NA,4.4 months,5.7 months,3,NA,Improved patient reported outcomes,30.04.2020,1+,Reduced toxicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crizotinib,-,Chemotherapy,"2nd line stage III or IV non-squamous, with ALK mutation",Thoracic Malignancies,Non-small-cell Lung Cancer,ALK+,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1214886?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Chemotherapy,NA,NA,NA,NA,Form 2b,PFS (crossover allowed),"2nd line stage III or IV non-squamous, with ALK mutation",PROFILE 1007,            Metastatic    ,ALK+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.49 (0.37-0.64),4,NA,NA,NA,3.0 months,4.7 months,3,1+,Improved,NA,NA,1% increased toxic death,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crizotinib,-,Pemetrexed + cisplatin or carboplatin,"1st line stage III or IV non-squamous, with ALK mutation",Thoracic Malignancies,Non-small-cell Lung Cancer,ALK+,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1408440?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Pemetrexed + cisplatin or carboplatin,NA,NA,NA,NA,Form 2b,PFS (crossover allowed),"1st line stage III or IV non-squamous, with ALK mutation",PROFILE 1014,            Metastatic    ,ALK+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.45 (0.35-0.60),4,NA,NA,NA,7.0 months,3.9 months,3,1+,Improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pemetrexed,-,Placebo,Stage III or IV disease maintenance after responding to 4 cycles platinum doublet,Thoracic Malignancies,Non-small-cell Lung Cancer,-,Metastatic,4,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(09)61497-5/fulltext,NA,NA,Placebo,NA,NA,NA,NA,Form 2a,PFS stratified for histology (non-squamous),Stage III or IV disease maintenance after responding to 4 cycles platinum doublet,NA,            Metastatic    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.50 (0.42-0.61),4,10.3 months,5.2 months,0.70 (0.56-0.88),2.6 months,1.7 months,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
